id,name,code,user_type_id/id,chart_template_id/id,tag_ids/id,reconcile
rs_311,"Subscribed stakes unpaid",311,account.data_account_type_equity,l10n_rs.l10n_rs_chart_template,,False
rs_321,"Legal reserves",321,account.data_account_type_equity,l10n_rs.l10n_rs_chart_template,,False
rs_322,"Statutory and other reserves",322,account.data_account_type_equity,l10n_rs.l10n_rs_chart_template,,False
rs_330,"Reevaluation reserves for reevaluation of intangibles and PPE",330,account.data_account_type_equity,l10n_rs.l10n_rs_chart_template,,False
rs_331,"Actuary gains and losses",331,account.data_account_type_equity,l10n_rs.l10n_rs_chart_template,,False
rs_332,"Gains and losses ",332,account.data_account_type_equity,l10n_rs.l10n_rs_chart_template,,False
rs_333,"Gains and losses for shares in associated entities.",333,account.data_account_type_equity,l10n_rs.l10n_rs_chart_template,,False
rs_334,"Gains and losses for valuating of foreign business financial statements",334,account.data_account_type_equity,l10n_rs.l10n_rs_chart_template,,False
rs_335,"Gains and losses for investment in foreign operations",335,account.data_account_type_equity,l10n_rs.l10n_rs_chart_template,,False
rs_336,"Gains and losses for hedging",336,account.data_account_type_equity,l10n_rs.l10n_rs_chart_template,,False
rs_337,"Gains and losses for securities held for trading",337,account.data_account_type_equity,l10n_rs.l10n_rs_chart_template,,False
rs_340,"Retained profit from previous years",340,account.data_account_type_revenue,l10n_rs.l10n_rs_chart_template,,False
rs_341,"Retained profit from current year",341,account.data_account_type_revenue,l10n_rs.l10n_rs_chart_template,,False
rs_350,"Previous year's losses",350,account.data_account_type_expenses,l10n_rs.l10n_rs_chart_template,,False
rs_351,"Current year loss",351,account.data_account_type_expenses,l10n_rs.l10n_rs_chart_template,,False
rs_400,"Provisions for costs incurred during the warranty period",400,account.data_account_type_non_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_401,"Provisions for the recovery of natural resources",401,account.data_account_type_non_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_402,"Provisions for retained deposits and caution money",402,account.data_account_type_non_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_403,"Provisions for restructuring costs",403,account.data_account_type_non_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_404,"Provisions for employees benefits",404,account.data_account_type_non_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_405,"Provisions for litigations",405,account.data_account_type_non_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_409,"Other long-term provisions",409,account.data_account_type_non_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_410,"Liabilities which can be converted into capital",410,account.data_account_type_non_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_411,"Liabilities to parent companies and subsidiaries",411,account.data_account_type_non_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_412,"Liabilities to other associated companies",412,account.data_account_type_non_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_413,"Liabilities for long-term securities",413,account.data_account_type_non_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_414,"Long-term loans - domestic",414,account.data_account_type_non_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_415,"Long-term loans - foreign",415,account.data_account_type_non_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_416,"Liabilities for financial lease",416,account.data_account_type_non_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_419,"Other long-term liabilities",419,account.data_account_type_non_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_420,"Short-term loans from parent companies and subsidiaries",420,account.data_account_type_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_421,"Short-term loans from other associated companies",421,account.data_account_type_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_422,"Short term loans - domestic",422,account.data_account_type_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_423,"Short term loans - foreign",423,account.data_account_type_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_424,"Current portion of long-term loans",424,account.data_account_type_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_425,"Current portion of other long-term liabilities",425,account.data_account_type_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_426,"Liabilities for short-term securities",426,account.data_account_type_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_427,"Liabilites for fixed assets and assets of discounting operations held for sale",427,account.data_account_type_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_429,"Other short-term financial liabilities",429,account.data_account_type_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_430,"Received advances, deposits and caution money",430,account.data_account_type_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_431,"Trade payables - parent companies and subsidiaries - domestic",431,account.data_account_type_payable,l10n_rs.l10n_rs_chart_template,,True
rs_432,"Trade payables - parent companies and subsidiaries - foreign",432,account.data_account_type_payable,l10n_rs.l10n_rs_chart_template,,True
rs_433,"Trade payables - other associated companies - domestic",433,account.data_account_type_payable,l10n_rs.l10n_rs_chart_template,,True
rs_434,"Trade payables - other associated companies - foreign",434,account.data_account_type_payable,l10n_rs.l10n_rs_chart_template,,True
rs_435,"Trade payables - domestic",435,account.data_account_type_payable,l10n_rs.l10n_rs_chart_template,,True
rs_436,"Trade payables - foreign",436,account.data_account_type_payable,l10n_rs.l10n_rs_chart_template,,True
rs_439,"Other liabilities from business operations",439,account.data_account_type_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_440,"Liabilities to importers",440,account.data_account_type_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_441,"Liabilities due to exporters made on behalf of third parties",441,account.data_account_type_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_442,"Liabilities for sale on commission and consignment",442,account.data_account_type_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_449,"Other liabilities from specific business operations",449,account.data_account_type_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_450,"Liabilities for net salaries and fringe benefits, except refundable fringe benefits",450,account.data_account_type_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_451,"Liabilities for taxes on salaries and fringe benefits charged to employees",451,account.data_account_type_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_452,"Liabilities for contributions on salaries and fringe benefits charged to employees",452,account.data_account_type_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_453,"Liabilities for taxes and contributions on salaries and fringe benefits charged to employer",453,account.data_account_type_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_454,"Liabilities for refundable net fringe benefits",454,account.data_account_type_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_455,"Liabilities for taxes and contributions on refundable fringe benefits charged to employees",455,account.data_account_type_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_456,"Liabilities for taxes and contributions on refundable fringe benefits charged to employer",456,account.data_account_type_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_460,"Liabilities for interests and finance costs",460,account.data_account_type_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_461,"Liabilities for dividends",461,account.data_account_type_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_462,"Liabilities for share in the profit",462,account.data_account_type_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_463,"Liabilities to employees",463,account.data_account_type_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
rs_464,"Liabilities to members of Management Board and Supervisory Board",464,account.data_account_type_current_liabilities,l10n_rs.l10n_rs_chart_template,,False
